date,Belluno,Padova,Rovigo,Treviso,Veneto,Venezia,Verona,Vicenza
20200306,0,16,0,3,39,14,2,4
20200307,0,16,0,6,46,16,2,6
20200308,0,17,1,8,50,16,2,6
20200309,0,17,1,13,61,18,5,7
20200310,0,18,1,15,69,19,8,8
20200311,0,17,1,15,68,19,9,7
20200312,0,28,1,15,101,31,18,8
20200313,0,29,1,19,108,31,16,12
20200314,1,29,2,24,125,34,19,16
20200315,2,31,2,24,136,37,23,17
20200316,4,33,2,26,163,38,40,20
20200317,4,38,2,28,177,40,44,21
20200318,4,43,2,29,201,47,51,25
20200319,5,50,2,31,224,50,59,27
20200320,5,52,3,34,246,52,70,30
20200321,4,51,3,38,257,54,79,28
20200322,4,54,4,37,268,55,83,31
20200323,6,58,5,39,294,61,88,37
20200324,9,60,6,40,314,63,96,40
20200325,8,55,7,40,318,68,97,43
20200326,10,59,7,44,336,71,101,44
20200327,7,60,8,39,337,72,105,46
20200328,10,60,9,44,349,68,111,47
20200329,9,64,9,46,360,69,113,50
20200330,8,61,9,47,354,66,114,49
20200331,10,63,9,45,352,66,110,49
20200401,10,61,9,46,348,64,110,48
20200402,9,58,9,44,335,62,105,48
20200403,9,58,11,42,327,60,99,48
20200404,9,57,11,42,327,58,102,48
20200405,10,58,12,43,327,61,102,41
20200406,9,54,12,44,316,58,98,41
20200407,9,46,11,38,289,58,88,39
20200408,9,39,11,38,277,56,84,40
