date,Belluno,Padova,Rovigo,Treviso,Veneto,Venezia,Verona,Vicenza
20200306,0,16,0,3,39,14,2,4
20200307,0,16,0,6,46,16,2,6
20200308,0,17,1,8,50,16,2,6
20200309,0,17,1,13,61,18,5,7
20200310,0,18,1,15,69,19,8,8
20200311,0,17,1,15,68,19,9,7
20200312,0,28,1,15,101,31,18,8
20200313,0,29,1,19,108,31,16,12
20200314,1,29,2,24,125,34,19,16
20200315,2,31,2,24,136,37,23,17
20200316,4,33,2,26,163,38,40,20
20200317,4,38,2,28,177,40,44,21
20200318,4,43,2,29,201,47,51,25
20200319,5,50,2,31,224,50,59,27
20200320,5,52,3,34,246,52,70,30
20200321,4,51,3,38,257,54,79,28
20200322,4,54,4,37,268,55,83,31
20200323,6,58,5,39,294,61,88,37
20200324,9,60,6,40,314,63,96,40
20200325,8,55,7,40,318,68,97,43
20200326,10,59,7,44,336,71,101,44
20200327,7,60,8,39,337,72,105,46
20200328,10,60,9,44,349,68,111,47
20200329,9,64,9,46,360,69,113,50
20200330,8,61,9,47,354,66,114,49
20200331,10,63,9,45,352,66,110,49
20200401,10,61,9,46,348,64,110,48
20200402,9,58,9,44,335,62,105,48
20200403,9,58,11,42,327,60,99,48
20200404,9,57,11,42,327,58,102,48
20200405,10,58,12,43,327,61,102,41
20200406,9,54,12,44,316,58,98,41
20200407,9,46,11,38,289,58,88,39
20200408,9,39,11,38,277,56,84,40
20200409,8,37,10,36,258,53,76,38
20200410,8,37,10,36,248,45,75,37
20200411,9,38,10,36,251,45,75,38
20200412,9,38,9,35,246,43,74,38
20200413,9,37,9,35,240,43,71,36
20200414,9,30,9,33,218,38,67,32
20200415,8,30,9,31,214,37,68,31
20200416,8,27,9,26,200,36,68,26
20200417,8,26,9,26,197,34,68,26
20200418,8,26,9,26,197,34,68,26
20200419,7,23,8,21,184,29,70,26
20200420,7,21,8,21,180,28,69,26
20200421,7,19,7,20,177,27,71,26
20200422,7,4,7,18,150,22,67,25
20200423,7,18,7,15,140,24,43,26
20200424,7,16,3,11,130,25,43,25
20200425,7,16,3,11,129,23,44,25
20200426,7,17,4,11,124,18,45,22
20200427,6,17,4,11,123,19,44,22
20200428,6,18,4,10,120,20,42,20
20200429,6,17,4,8,114,22,38,19
20200430,6,18,4,8,110,18,39,17
20200501,6,19,4,8,110,18,38,17
20200502,5,18,4,8,108,18,38,17
20200503,6,18,4,8,103,16,34,17
20200504,6,18,4,8,101,18,33,14
20200505,5,15,3,8,90,15,34,10
20200506,5,17,3,9,89,15,30,10
20200507,5,16,2,9,86,15,28,11
20200508,4,7,0,5,42,6,16,4
20200509,3,6,0,5,39,6,15,4
20200510,2,7,0,4,37,6,14,4
20200511,2,8,0,4,36,6,12,4
20200512,2,8,0,3,33,6,10,4
20200513,2,8,0,3,29,5,9,2
20200514,1,9,0,2,27,4,8,3
20200515,1,7,0,1,22,4,8,1
20200516,1,6,0,1,21,4,7,2
20200517,1,6,0,1,23,5,7,3
20200518,0,4,0,1,18,5,7,1
20200519,0,3,0,1,19,5,8,2
20200520,0,2,0,1,16,5,7,1
20200521,0,2,0,0,13,4,6,1
20200522,0,2,0,0,12,4,5,1
20200523,0,2,0,0,11,4,4,1
20200524,0,2,0,0,11,4,4,1
20200525,0,2,0,0,10,4,3,1
20200526,0,1,0,0,10,4,4,1
20200527,0,1,0,0,9,4,4,0
20200528,0,1,0,0,7,2,4,0
20200529,0,1,0,0,6,1,4,0
20200530,0,2,0,0,6,0,4,0
20200531,0,2,0,0,6,0,4,0
20200601,0,1,0,0,5,0,4,0
20200602,0,1,0,0,5,0,4,0
20200603,0,1,0,0,2,0,1,0
20200604,0,1,0,0,2,0,1,0
20200605,0,1,0,0,2,0,1,0
20200606,0,0,0,0,1,0,1,0
