date,Assegnazione in corso,Belluno,Cluster domiciliati Comune di Vò,Domicilio fuori Veneto,Padova,Rovigo,Treviso,Veneto,Venezia,Verona,Vicenza
20200306,0,0,0,0,0,0,0,0,0,0,0
20200307,0,0,0,0,0,0,0,0,0,0,0
20200308,0,0,0,0,0,0,0,0,0,0,0
20200309,0,0,0,0,0,0,0,0,0,0,0
20200310,0,0,0,0,0,0,0,0,0,0,0
20200311,0,0,0,0,0,0,0,0,0,0,0
20200312,0,0,0,0,0,0,0,0,0,0,0
20200313,0,0,0,0,0,0,0,0,0,0,0
20200314,0,0,0,0,0,0,0,0,0,0,0
20200315,0,0,0,0,0,0,0,0,0,0,0
20200316,0,0,0,0,0,0,0,0,0,0,0
20200317,0,343,182,0,1871,405,1268,8658,1777,1725,1087
20200318,0,471,52,0,1995,465,1410,9419,1853,1811,1362
20200319,0,447,52,0,2308,474,1549,10124,2023,1720,1551
20200320,0,610,52,0,2443,468,1685,12432,2649,2531,1994
20200321,0,689,52,0,2669,483,1775,13589,3120,2619,2182
20200322,0,736,52,0,2669,591,1856,14268,3339,2767,2258
20200323,0,1043,52,0,2669,675,2019,15376,3489,2965,2464
20200324,0,1080,51,0,2744,788,2286,16220,3753,3220,2298
20200325,0,1149,0,0,3270,890,2376,17159,3905,3266,2303
20200326,0,1101,0,0,3270,1016,2243,17457,4053,3466,2308
20200327,0,1170,0,0,3270,1076,3156,18895,4174,3641,2408
20200328,0,1193,0,0,3270,1148,3868,20000,4259,3836,2426
20200329,0,1189,0,0,3532,538,4075,20064,4261,3968,2501
20200330,0,1231,0,0,3532,571,4346,19895,4256,3392,2567
20200331,0,1269,0,0,3291,551,4398,19945,4252,3592,2592
20200401,0,1263,0,0,3959,565,4170,20275,4307,3371,2640
20200402,0,1303,0,0,4207,567,4132,20278,4371,3031,2667
20200403,0,1349,0,0,4206,599,4196,20238,4409,2800,2679
20200404,0,1324,0,0,4424,613,4183,20058,4318,2539,2657
20200405,0,1354,0,0,4274,599,4095,19987,4384,2507,2774
20200406,0,1328,0,0,4274,579,4072,19595,4198,2524,2620
20200407,0,1246,0,0,4789,581,3912,18866,3419,2521,2398
20200408,0,1211,0,0,4834,608,3742,18886,3427,2479,2585
20200409,0,1171,0,0,4853,586,3570,18553,3328,2446,2599
20200410,0,1142,0,0,4905,608,3620,18567,3382,2336,2574
20200411,0,1161,0,0,4882,611,3331,18111,3290,2341,2495
20200412,0,1161,0,0,4882,611,3331,18356,3523,2332,2516
20200413,0,1089,0,0,4882,611,3087,17902,3523,2241,2469
20200414,0,1063,0,0,4882,611,3087,17931,3531,2226,2531
